,Name,Medals
701,Ute Thimm (Finger-),1
702,John Curtis Thomas,1
703,"Francis Morgan ""Daley"" Thompson",2
704,Gabriel J. Tiacoh,1
705,Juha Pekka Antero Tiainen,1
706,Ulf-Bla Timmermann,1
707,Gerald Alexander Tinker,1
708,Nadiya Volodymyrivna Tkachenko (-Sapronova),1
709,Jacqueline Todten-Hein,1
710,"William Anthony ""Bill"" Toomey",1
711,Cheryl Renee Toussaint (-Eason),1
712,Roberto Tozzi,1
713,John Treacy,1
714,Kokichi Tsuburaya,1
715,"Michael Scott ""Mike"" Tully",1
716,Bodo Tmmler,1
717,Eshetu Tura,1
718,"Kimberly ""Kim"" Turner (-McKenzie)",1
719,Wyomia Tyus (-Simburg),4
720,Romas Ubartas,1
721,Moses Omote Ugbisien,1
722,Sunday Uti,1
723,Jaak Uudme,1
724,Jrg Vaihinger,1
725,Carmen Laura Valds Capote,1
726,Remigijus Valiulis,1
727,Andrew Orlando Valmon,1
728,Ivo Van Damme,2
729,Vilmos Varj,1
730,Pekka Antero Vasala,1
731,Daniel Roger Vlasquez,1
732,Mariya Dimitrova Vergova-Petkova,2
733,Thierry Georges Vigneron,1
734,Lasse Artturi Virn,4
735,Viorica Viscopoleanu (Belmega-),1
736,Angela Voigt (Schmalfeld-),1
737,Konstantin Yuryevich Volkov,1
738,Torsten Voss,1
739,Christine Wachtel (-Guth),1
740,Douglas Wakiihuri Maina,1
741,Hans-Joachim Walde,2
742,John George Walker,1
743,Frank Wartenberg,1
744,Ronald Weigel,2
745,"David Lawson ""Dave"" Weill",1
746,Paul-Heinz Wellmann,1
747,Allan Wipper Wells,2
748,"Siegfried ""Siggi"" Wentz",1
749,Jan Werner,1
750,Gerd Wessig,1
751,"Lieselotte ""Liesel"" Westermann (-Krieg)",1
752,"Fatima N. (Fatma-) Whitbread (Vedad-, -Norman)",2
753,Marilyn Elaine White,1
754,Willye Brown White,1
755,Roland Wieser,1
756,Mac Maurice Wilkins,2
757,Desai Williams,1
758,Lynn Williams (Kanuka-),1
759,"Randel Lavelle ""Randy"" Williams",2
760,Ulis C. Williams,1
761,"Rosemarie ""Rosie"" Witschas-Ackermann",1
762,Sigrun Wodars-Grau (Ludwigs-),1
763,"Richard Charles ""Rick"" Wohlhuter",1
764,Mamo Wolde,3
765,Klaus Wolfermann,1
766,George Roger Woods,2
767,Marian Jerzy Woronin,1
768,"David James ""Dave"" Wottle",1
769,Dana Wright,1
770,Jacek Roman Wszoa,2
771,Gerhard Wucherer,1
772,"Brigitte Wujak (Knzel-, -Pretzschner)",1
773,Grigory Aleksandrovich Yegorov,1
774,Miruts Yifter,3
775,Diana Khristova Yorgova (-Prodanova),1
776,Dannette Louise Young (-Stone),1
777,George L. Young,1
778,"Lawrence Dean ""Larry"" Young",2
779,"Claudia Hildegard Zaczkiewicz (Reidick-, -Reidick)",1
780,Monika Zehrt (-Landgraf),2
781,Jan elezn,1
782,Lyudmila Ilyinichna Zharkova-Maslakova,3
783,Sergey Viktorovich Zhelanov,1
784,Marina Serafimovna Zhirova (Titova-),1
785,Zhu Jianhua,1
786,"Olena Zhupiyeva-V'iazova (-Dershan, -Skachkova)",1
787,Andrzej Franciszek Zieliski,1
788,Elfi Zinn (Rost-),1
789,Nina Anatolivna Ziuskova,1
790,Gyula Zsivtzky,2
791,Mauro Carlo Zuliani,1
792,Krzysztof Zwoliski,1
793,Galina Ivanovna Zybina (-Fyodorova),1
