,Name,Medals
164,Joo Carlos de Oliveira,2
165,Jocelyn Delecour,2
166,Luis Marano Dels Fournier,1
167,"William Solon ""Bill"" Dellinger",1
168,"Joseph Nathaniel ""Joe"" DeLoach, Jr.",1
169,Leslie Jean Deniz,1
170,El Hadji Amadou Dia B,1
171,Brian Lee Diemer,1
172,Diane Lynn Dixon (-Trouse),2
173,"Rodney Phillip ""Rod"" Dixon",1
174,Norbert Dobeleit,1
175,"Svetlana Ivanovna ""Esfir"" Dolzhenko-Krachevskaya",1
176,Lutz Dombrowski,1
177,Yordanka Lyubchova Donkova,1
178,Gabriella Dorio (-Spigarolo),1
179,Juana Katrin Drre-Heinig,1
180,Ralph Douglas Doubell,1
181,Otis Paul Drayton,2
182,Heike Gabriela Drechsler (Daute-),3
183,Jrg Drehmel,1
184,Margitta Droese-Pufe (Ludewig-),1
185,Guy Drut,2
186,Marian Andrzej Dudziak,1
187,"Leszek Ryszard ""Lech"" Dunecki",1
188,Maryvonne Dupureur (Samson-),1
189,Satymkul Dzhumanazarov,1
190,Liudmyla Stanislavivna Dzhyhalova,1
191,"Sheila Ann Echols (-Williams, -Gross)",1
192,Brbel Eckert-Wckel,4
193,Norman Edwards,1
194,Innocent Ejima Egbunike,1
195,Klaus Johannes Ehl,1
196,Anneliese Ehrhardt (Jahns-),1
197,Nawal El-Moutawakel (-Bennis),1
198,Kenth Enar Eldebrink,1
199,Marlene Elejarde Daz,2
200,Peter Elliott,1
201,Kirsten Emmelmann (Siemon-),1
202,Paul Ereng,1
203,Giovanni Evangelisti,1
204,Dwayne Eugene Evans,1
205,Lee Edward Evans,2
206,"Daniel Joseph ""Danny Joe"" Everett",2
207,Sabine Christine Everts (-Thomaskamp),1
208,"Hildegard Falck (Janze-, -Kimmich)",2
209,"Thomas Francis ""Tom"" Farrell",1
210,Oleg Georgiyevich Fedoseyev,1
211,Grard Fenouil,1
212,Mable Fergerson (-Winn),1
213,Barbara Ann Ferrell (-Edmonson),2
214,Helena Fibingerov (-mdov),1
215,Ellen Fiedler (Neumann-),1
216,Enrique Figuerola Camu,2
217,Benita P. Fitzgerald-Brown (-Mosley),1
218,"Debra Lee ""Debbie"" Flintoff-King",1
219,Marian Foik,1
220,"Richard Douglas ""Dick"" Fosbury",1
221,Brendan Foster,1
222,"Gregory ""Greg"" Foster",1
223,Herman Ronald Frazier,2
224,"Ronald John ""Ron"" Freeman, III",2
225,Jrg Freimuth,1
226,Peter Frenkel,2
227,"Ruth Fuchs (Gamm-, -Hellmann)",2
228,"Kimberly Ann ""Kim"" Gallagher",2
